t,vid,x,y,speed,risk
49.0,car_12,291.742684196134,298.94500329727447,2.6467880187504926,RISK
49.0,react_04,304.8,234.12186482485987,4.0,RISK
49.0,car_p2,298.4,512.8925873148567,11.802153453030927,RISK
49.0,car_06,282.37100000000004,304.8,4.0,RISK
49.0,car_08,295.2,286.51099999999997,4.0,RISK
49.0,car_16,290.61813538219684,295.2,4.0,RISK
49.0,react_03,298.4,349.87984201050665,4.0,RISK
49.0,car_02,304.8,478.2879868056242,12.958444325584722,RISK
49.0,car_11,309.2379765031193,304.50519033505066,3.57301913424434,COLLISION
49.0,car_04,305.40541528304504,298.4,7.946607435882768,COLLISION
49.0,car_p1,298.4,494.3565450487706,12.053874495830513,RISK
49.0,car_15,313.8766083166301,301.6,0.4896081168962395,COLLISION
49.0,car_03,298.9222738056961,304.8,4.0,COLLISION
49.0,car_17,298.4,327.3373150678724,4.0,RISK
49.0,car_14,301.6,275.41617356795115,4.0,RISK
49.0,car_07,306.4864796180134,302.1881122291919,0.0,COLLISION
49.0,car_18,301.6,255.6458599448795,4.0,RISK
49.0,car_05,372.2381295233278,295.2,4.0,RISK
49.0,car_13,298.4,311.40099999999995,0.0,RISK
49.0,car_01,295.2,90.97253868713094,13.836243721537759,SAFE
49.0,wrong_way_01,318.81354838090186,304.8,3.2172120912041544,COLLISION
50.0,car_10,304.8,288.59900000000005,0.0,RISK
50.0,car_09,162.76021725091897,304.8,12.904459908564244,RISK
50.0,ped_01,295.2,511.35972298967215,11.416614065493226,RISK
50.0,react_02,379.762875491773,304.8,4.0,COLLISION
50.0,car_12,292.3720706373219,299.105091137716,0.0,RISK
50.0,react_04,304.8,238.1218648248599,4.0,RISK
50.0,car_p2,298.4,501.01538991934655,11.849410380682102,RISK
50.0,car_06,278.37100000000004,304.8,4.0,RISK
50.0,car_08,295.2,282.51099999999997,4.0,COLLISION
50.0,car_16,294.61813538219684,295.2,4.0,COLLISION
50.0,react_03,295.2,345.8798420105066,4.0,RISK
50.0,car_02,304.8,491.2393026471955,12.912148921855994,RISK
50.0,car_11,305.4801766397744,303.55182259194277,4.0,COLLISION
50.0,car_04,314.28126143379137,298.4,9.750148489604914,COLLISION
50.0,car_p1,298.4,482.3011996809696,12.0155593823247,RISK
50.0,car_15,313.58702546438894,301.6,0.1722502940612335,COLLISION
50.0,car_03,294.9222738056961,304.8,4.0,COLLISION
50.0,car_17,298.4,323.350908675213,3.8640639265959145,RISK
50.0,car_14,301.6,279.4161735679509,4.0,COLLISION
50.0,car_07,306.4864796180134,302.1881122291919,0.0,COLLISION
50.0,car_18,301.6,259.6458599448793,4.0,RISK
50.0,car_05,376.2381295233278,295.2,4.0,COLLISION
50.0,car_13,298.4,311.40099999999995,0.0,RISK
50.0,car_01,295.2,77.1381909396535,13.764050194944721,SAFE
50.0,wrong_way_01,315.37460479716026,304.8,3.738910888155628,COLLISION
51.0,car_10,304.8,288.59900000000005,0.0,RISK
51.0,car_09,149.79507298360267,304.8,12.974223574790306,RISK
51.0,ped_01,295.2,499.98108901072925,11.366699893492509,COLLISION
51.0,react_02,375.76287549177295,304.8,4.0,RISK
51.0,car_12,292.3720706373219,299.105091137716,0.0,RISK
51.0,react_04,304.8,242.12186482485998,4.0,RISK
51.0,car_p2,298.4,489.56469709461913,10.113519387503331,RISK
51.0,car_06,274.371,304.8,4.0,RISK
51.0,car_08,295.2,278.51099999999997,4.0,COLLISION
51.0,car_16,298.61813538219684,295.2,4.0,COLLISION
51.0,react_03,295.2,341.8798420105067,4.0,RISK
51.0,car_02,304.8,503.74215690668484,11.128704964011714,RISK
51.0,car_11,302.30490275479303,301.47703098173406,2.960183271907339,COLLISION
51.0,car_04,325.01696599108044,298.4,11.622133525737302,RISK
51.0,car_p1,298.4,470.7098590335312,10.233973706059754,RISK
51.0,car_15,313.4860541671899,301.6,0.060059963840079944,COLLISION
51.0,car_03,290.9222738056961,304.8,4.0,RISK
51.0,car_17,298.4,320.5642094389215,2.0093918760935345,RISK
51.0,car_14,301.6,283.4161735679507,4.0,COLLISION
51.0,car_07,306.4864796180134,302.1881122291919,0.0,RISK
51.0,car_18,301.6,263.6458599448791,4.0,RISK
51.0,car_05,380.23812952332787,295.2,4.0,RISK
51.0,car_13,298.4,311.40099999999995,0.0,RISK
51.0,car_01,295.2,63.30461055097132,13.838974799797871,SAFE
51.0,wrong_way_01,311.6103384867076,304.8,3.4429296883423586,COLLISION
52.0,car_10,304.8,288.59900000000005,0.0,RISK
52.0,car_09,136.82092589623716,304.8,13.010151569500234,SAFE
52.0,ped_01,295.2,488.580685483204,11.373032712376911,RISK
52.0,react_02,371.7628754917729,304.8,4.0,RISK
52.0,car_12,292.3720706373219,299.105091137716,0.0,RISK
52.0,react_04,304.8,246.12186482486004,4.0,RISK
52.0,car_p2,298.4,479.5861766670639,10.881998616140049,RISK
52.0,car_06,270.37100000000004,304.8,4.0,RISK
52.0,car_08,295.2,274.51099999999997,4.0,COLLISION
52.0,car_16,302.6181353821968,295.2,4.0,RISK
52.0,react_03,295.2,337.87984201050693,4.0,RISK
52.0,car_02,304.8,514.729961669005,11.836910616602554,RISK
52.0,car_11,301.6317984800601,300.98927426091313,8.612902058224847e-15,RISK
52.0,car_04,334.16409951681777,298.4,7.122133525737308,RISK
52.0,car_p1,298.4,460.60360402932974,10.867833762648646,RISK
52.0,car_15,313.4508476527876,301.6,0.020941614504214612,RISK
52.0,car_03,286.9222738056961,301.6,4.0,RISK
52.0,car_17,295.2,318.6930541093787,2.6586487276839597,RISK
52.0,car_14,301.6,287.3715268719567,3.553533040061917,RISK
52.0,car_07,306.4864796180134,302.1881122291919,0.0,RISK
52.0,car_18,301.6,267.64585994487885,4.0,COLLISION
52.0,car_05,384.2381295233279,295.2,4.0,RISK
52.0,car_13,298.4,311.40099999999995,0.0,RISK
52.0,car_01,295.2,49.50156631414299,13.815917803831399,SAFE
52.0,wrong_way_01,309.01654639886954,304.8,1.9487212404107466,COLLISION
53.0,car_10,304.8,288.59900000000005,0.0,RISK
53.0,car_09,123.8593525846085,304.8,12.991926298925321,SAFE
53.0,ped_01,295.2,477.1650745594951,11.38779793120851,RISK
53.0,react_02,367.7628754917728,304.8,4.0,RISK
53.0,car_12,292.3720706373219,299.105091137716,0.0,RISK
53.0,react_04,304.8,250.1218648248601,4.0,RISK
53.0,car_p2,298.4,467.90365389791026,11.987799109798562,RISK
53.0,car_06,266.37100000000004,304.8,4.0,RISK
53.0,car_08,295.2,270.51099999999997,4.0,COLLISION
53.0,car_16,306.6181353821968,295.2,4.0,COLLISION
53.0,react_03,295.2,333.87984201050716,4.0,RISK
53.0,car_02,304.8,527.4265130683534,12.938253795570496,RISK
53.0,car_11,301.1894032756075,300.6695690323832,1.5600000000000087,COLLISION
53.0,car_04,339.09237963226013,298.4,4.0,RISK
53.0,car_p1,298.4,448.82018470467773,12.098213948735628,RISK
53.0,car_15,313.4385719002645,301.6,0.007301889478502744,RISK
53.0,car_03,282.9222738056961,301.6,4.0,RISK
53.0,car_17,295.2,314.97372974553684,4.0,RISK
53.0,car_14,301.6,288.59900000000005,0.0,RISK
53.0,car_07,306.4864796180134,302.1881122291919,0.0,RISK
53.0,car_18,301.6,271.6458599448786,4.0,COLLISION
53.0,car_05,388.3116187034004,295.2,4.478300120215863,RISK
53.0,car_13,298.4,311.40099999999995,0.0,RISK
53.0,car_01,295.2,35.66711504409565,13.809853786465247,SAFE
53.0,wrong_way_01,307.5702676939093,304.8,1.2963294060947486,COLLISION
54.0,car_10,304.8,288.59900000000005,0.0,RISK
54.0,car_09,110.87109450276003,304.8,12.995360731393234,SAFE
54.0,ped_01,295.2,465.7740236614461,11.343615365071923,RISK
54.0,react_02,363.7628754917728,304.8,4.0,RISK
54.0,car_12,292.3720706373219,299.105091137716,0.0,RISK
54.0,react_04,304.8,254.12186482486015,4.0,RISK
54.0,car_p2,298.4,455.89199926660297,12.043600950373891,RISK
54.0,car_06,262.37100000000004,304.8,4.0,RISK
54.0,car_08,295.2,266.511,4.0,RISK
54.0,car_16,310.6181353821968,295.2,4.0,RISK
54.0,react_03,295.2,329.8798420105074,4.0,RISK
54.0,car_02,304.8,540.390716858642,13.019530893648778,RISK
54.0,car_11,299.1475824973635,298.5605588734767,4.0,RISK
54.0,car_04,343.09237963226013,298.4,4.0,RISK
54.0,car_p1,298.4,436.76681839489345,12.062520938729994,RISK
54.0,car_15,313.4342916100237,301.6,0.00254601143317268,RISK
54.0,car_03,278.9222738056961,301.6,4.0,RISK
54.0,car_17,295.2,311.6535765818456,1.7419219394855074,RISK
54.0,car_14,301.6,288.59900000000005,0.0,RISK
54.0,car_07,306.4864796180134,302.1881122291919,0.0,RISK
54.0,car_18,301.6,275.6458599448784,4.0,RISK
54.0,car_05,393.74821297274195,295.2,6.222401236549483,RISK
54.0,car_13,298.4,311.40099999999995,0.0,RISK
54.0,car_01,295.2,21.840782428138482,13.801412242106162,SAFE
54.0,wrong_way_01,305.61020150380034,304.8,2.68289461909529,COLLISION
55.0,car_10,304.8,288.59900000000005,0.0,RISK
55.0,yield_01,298.4,585.568119950593,11.736282263942993,RISK
55.0,car_09,97.92975887857637,304.8,12.99973675225316,SAFE
55.0,ped_01,295.2,454.37159524067863,11.37807405466377,RISK
55.0,react_02,359.7628754917727,304.8,4.0,RISK
55.0,car_12,292.3720706373219,299.105091137716,0.0,RISK
55.0,react_04,304.8,258.1218648248601,4.0,RISK
55.0,car_p2,298.4,443.86626028878436,11.964056642727051,RISK
55.0,car_06,258.37100000000004,304.8,4.0,RISK
55.0,car_08,295.2,262.511,4.0,RISK
55.0,car_16,314.6181353821968,295.2,4.0,RISK
55.0,react_03,295.2,325.8798420105076,4.0,RISK
55.0,car_02,304.8,553.3567854503881,13.029479692457977,RISK
55.0,car_11,296.8030041882789,295.3218617177073,4.0,RISK
55.0,car_04,347.09237963226013,298.4,4.0,RISK
55.0,car_p1,298.4,424.7154991960018,11.995319665323604,RISK
55.0,car_15,313.4327991650993,301.6,0.0008877392950003013,RISK
55.0,car_03,274.9222738056961,301.6,4.0,RISK
55.0,yield_04,301.6,8.731910281658173,10.632898776764051,COLLISION
55.0,car_17,295.2,311.40099999999995,0.0,RISK
55.0,car_14,301.6,288.59900000000005,0.0,RISK
55.0,car_07,306.4864796180134,302.1881122291919,0.0,RISK
55.0,car_18,301.6,278.8956582332636,2.412386976240342,RISK
55.0,car_05,401.0213870546645,295.2,8.13722818734124,RISK
55.0,car_13,298.4,311.40099999999995,0.0,RISK
55.0,car_01,295.2,8.031373415394796,13.788112810102758,COLLISION
55.0,wrong_way_01,301.930108399516,304.8,4.462133989620174,COLLISION
55.0,yield_02,585.5890470341651,301.6,11.604748502608853,SAFE
56.0,car_10,304.8,288.59900000000005,0.0,RISK
56.0,yield_01,298.4,572.8343886846473,13.094666412197583,COLLISION
56.0,yield_06,591.2443622499732,304.8,10.769767851154318,RISK
56.0,car_09,84.9913854937056,304.8,12.95387973426063,SAFE
56.0,ped_01,295.2,442.9598801261047,11.360670465439792,RISK
56.0,react_02,355.76287549177266,304.8,4.0,COLLISION
56.0,car_12,292.3720706373219,299.105091137716,0.0,COLLISION
56.0,yield_05,295.2,591.6401071765739,9.756819105795584,RISK
56.0,react_04,304.8,262.12186482485987,4.0,COLLISION
56.0,car_p2,298.4,431.87543828012144,11.987397950215206,RISK
56.0,car_06,254.37100000000007,304.8,4.0,RISK
56.0,car_08,295.2,258.511,4.0,COLLISION
56.0,car_16,318.6181353821968,295.2,4.0,RISK
56.0,react_03,295.2,322.120386310808,3.1089242072053374,RISK
56.0,car_02,304.8,566.3071735531888,12.958246231317323,COLLISION
56.0,car_11,295.68448545551956,291.50965070058817,4.0,RISK
56.0,car_04,351.09237963226013,298.4,4.0,COLLISION
56.0,car_p1,298.4,412.68968192457487,12.065436365537007,RISK
56.0,car_15,312.70412963212306,304.8,1.8206471619460391,RISK
56.0,car_03,270.9222738056961,301.6,4.0,RISK
56.0,yield_04,301.6,20.548241684590927,12.768832197906448,SAFE
56.0,car_17,295.2,311.40099999999995,0.0,RISK
56.0,car_14,301.6,288.59900000000005,0.0,RISK
56.0,car_07,306.4864796180134,302.1881122291919,0.0,RISK
56.0,car_18,301.6,280.5261773566549,1.0971114939501445,RISK
56.0,car_05,410.13700392823006,295.2,9.963947232447094,RISK
56.0,car_13,298.4,311.40099999999995,0.0,RISK
56.0,wrong_way_01,296.45213011824137,304.8,6.351268997655405,COLLISION
56.0,yield_02,572.9736818114102,301.6,13.448681304105554,RISK
57.0,car_10,304.8,288.98900000000003,1.3,RISK
57.0,yield_01,298.4,559.7198728584588,13.142776207415915,RISK
57.0,yield_06,579.4334005252302,304.8,12.719721456298135,SAFE
57.0,car_09,72.04450307096141,304.8,12.925499448135163,SAFE
57.0,ped_01,295.2,431.5594214508187,11.346537503350294,RISK
57.0,react_02,351.7628754917726,304.8,4.0,COLLISION
57.0,car_12,292.3720706373219,299.105091137716,0.0,COLLISION
57.0,yield_05,295.2,580.8699005128059,11.612362415196838,COLLISION
57.0,react_04,304.8,266.12186482485964,4.0,RISK
57.0,car_p2,298.4,419.8552753617216,11.978805514950727,RISK
57.0,car_06,250.3710000000001,304.8,4.0,RISK
57.0,car_08,295.2,254.51100000000002,4.0,RISK
57.0,car_16,322.6181353821968,295.2,4.0,RISK
57.0,react_03,295.2,319.90322060363076,1.7535171696923058,RISK
57.0,car_02,304.8,579.2658412906928,13.023530170641177,COLLISION
57.0,firetruck_01,304.8,18.444999999999997,13.25,SAFE
57.0,car_11,295.2,287.571,4.0,COLLISION
57.0,car_04,355.0923796322601,298.4,4.0,COLLISION
57.0,car_p1,298.4,400.63702849787126,12.102228540813211,RISK
57.0,car_15,310.518482470177,304.8,0.8706471619460385,RISK
57.0,car_03,266.9222738056961,301.6,4.0,RISK
57.0,yield_04,301.6,33.46460240693647,11.541430303992241,RISK
57.0,car_17,295.2,311.01099999999997,1.3,COLLISION
57.0,car_14,301.6,288.98900000000003,1.3,COLLISION
57.0,car_07,306.1547213637273,302.38716718176363,1.2820663795123999,RISK
57.0,car_18,301.6,281.2659708478503,0.7100291521497282,RISK
57.0,car_05,421.0572670078591,295.2,11.787722016465843,RISK
57.0,car_13,298.4,311.01099999999997,1.3,RISK
57.0,wrong_way_01,289.0621666405906,304.8,8.230085555237874,COLLISION
57.0,yield_02,559.1568339510262,301.6,13.871344662571792,RISK
58.0,car_10,305.0996052934765,291.6972370543355,3.8999999999999986,RISK
58.0,yield_01,298.4,546.6092678419636,13.126548293449048,RISK
58.0,yield_06,565.8490286239213,304.8,13.832125787208788,RISK
58.0,car_09,59.078965991779285,304.8,12.975177769101359,SAFE
58.0,ped_01,295.2,420.1400125240032,11.447477274485168,RISK
58.0,react_02,347.76287549177255,304.8,4.0,RISK
58.0,car_12,292.5233188100553,299.1434255996542,0.78,RISK
58.0,yield_05,295.2,568.056648292276,13.764443076655729,RISK
58.0,react_04,304.8,270.1218648248594,4.0,RISK
58.0,car_p2,298.4,407.81484903547687,11.967774317604123,RISK
58.0,car_06,246.3710000000001,304.8,4.0,RISK
58.0,car_08,295.2,250.51100000000005,4.0,RISK
58.0,car_16,326.6181353821968,295.2,4.0,RISK
58.0,react_03,295.2,317.70778330575314,2.8485222038354565,RISK
58.0,car_02,304.8,592.2287201834299,12.909265362332379,RISK
58.0,firetruck_01,304.8,31.94500000000001,13.5,SAFE
58.0,car_11,298.4,283.571,4.0,COLLISION
58.0,car_04,359.0923796322601,298.4,4.0,RISK
58.0,car_p1,298.4,388.5752418705135,12.10307241925051,RISK
58.0,car_15,310.4764177539824,304.8,0.0,RISK
58.0,car_03,262.92227380569614,301.6,4.0,RISK
58.0,yield_04,301.6,42.53103271092873,7.041430303992246,RISK
58.0,car_17,295.71901841620627,308.3473406998158,3.8999999999999986,RISK
58.0,car_14,301.6,289.499,0.0,RISK
58.0,car_07,304.10525489229406,303.6168470646236,3.298587873121406,COLLISION
58.0,car_18,301.6,282.02852634940626,0.5144736505937846,RISK
